age,totalAssets,nisa,ideco,tax,cash,income,expense,cashFlow,baseExp,fireLine25x
35,1246,391,2,683,170,610,420,190,420,10500
36,1503,488.37,4.140000000000001,878.81,131.59999999999997,610,428,182,428,10700
37,1772,592.5559000000001,6.4298,1088.3267,84.63199999999995,610,437,173,437,10925
38,2054,704.0348130000001,8.879885999999999,1312.509569,28.924639999999897,610,446,164,446,11150
39,2352,811.9591558009091,11.176961045454544,1528.3709827136365,0,610,455,155,455,11375
40,2662,915.3418620975182,13.289221615509089,1733.767575472173,0,610,464,146,464,11600
41,2986,1023.0104509608826,15.465028800495816,1947.3028694759057,0,610,473,137,473,11825
42,3322,1135.205916033195,17.707144630960546,2169.421792607041,0,610,482,128,482,12050
43,3673,1252.1849401488523,20.018490754937318,2400.597922075439,1.4210854715202004e-14,610,492,118,492,12300
44,4038,1374.220969970654,22.40215893667956,2641.3354399590703,0,610,502,108,502,12550
45,4609,1540.4164378685998,25.97031006224713,2974.2289207562053,68.02234360220194,800,512,288,512,12800
46,5204,1707.285489459283,29.475086079172467,3467.5033240331386,0,800,522,278,522,13050
47,5836,1872.438623086948,32.8424320865864,3930.6197636518023,0,800,533,267,533,13325
48,6501,2047.3336317387864,36.39352533366893,4417.3719342800605,0,800,543,257,543,13575
49,7202,2232.6160697798955,40.14018878757987,4929.23868869331,0,800,554,246,554,13850
50,7941,2428.975952843197,44.09505223638786,5467.798886393321,0,800,565,235,565,14125
51,8720,2637.1508555674304,48.27160835079814,6034.738323819723,0,800,577,223,577,14425
52,9542,2857.9292258857913,52.68427266188661,6631.857148271111,0,800,588,212,588,14700
53,10411,3092.1539310179373,57.34844772879411,7261.0777893673385,0,800,600,200,600,15000
54,11327,3340.726051378663,62.28059178950885,7924.453444252207,0,800,612,188,612,15300
55,12506,3309.0381112319083,64.7718154610892,7798.435718278506,1333.8198908858121,0,624,-624,624,15600
56,12263,3271.3860577998785,67.36268807953277,7655.998998226634,1267.9259186927616,0,637,-637,637,15925
57,11997,3227.3647319284846,70.05719560271409,7496.396754371991,1202.7539469354206,0,649,-649,649,16225
58,11707,3176.5409532910207,72.85948342682265,7318.863329031412,1138.2819821574476,0,662,-662,662,16550
59,11391,3118.4507861772763,75.77386276389555,7122.615190193946,1074.4864867725178,0,676,-676,676,16900
60,11050,3052.5963467119914,78.80481727445137,6906.8527155503125,1011.3421415025005,0,689,-689,689,17225
61,10680,2978.442029631053,81.95700996542942,6670.762671357837,948.8215422789717,0,703,-703,703,17575
62,10281,2895.4099883400277,85.23529036404659,6413.521611951312,886.8948105108672,0,717,-717,717,17925
63,9851,2802.8746369003943,88.64470197860845,6134.30051579382,825.5290867502233,0,731,-731,731,18275
64,9389,2700.1558448935393,92.1904900577528,5832.271109362899,764.6878642748062,0,746,-746,746,18650
65,9070,2634.6974527709217,89.48623568272538,5628.129758907735,717.4518819476566,165,761,-595,761,19025
66,8721,2560.4676571937257,86.41813617360337,5404.097033223372,670.4215760025854,166,776,-610,776,19400
67,8431,2500.62103942591,82.96141072665924,5218.312862354838,629.5688472583989,246,792,-546,792,19800
68,8113,2432.076941351451,79.08987822608181,5013.156792051461,588.7613871596656,246,807,-561,807,20175
69,7764,2353.889489786858,74.77588486829553,4787.097640093288,547.9169555990557,245,823,-578,823,20575
70,7383,2265.6431718053486,69.99022823672462,4540.061131975855,507.09209756690353,246,840,-594,840,21000
71,6969,2166.567368309299,64.70207765883876,4271.277282387153,466.26647405675004,246,857,-611,857,21425
72,6520,2055.8099441364475,58.878890669543274,3980.0073150983685,425.41384020473106,246,874,-627,874,21850
73,6035,1932.4196023606441,52.486325396850006,3665.5642801009894,384.50035708640723,247,891,-645,891,22275
74,5512,1795.321125480731,45.488148677270004,3327.343236275898,343.4821044822806,247,909,-662,909,22725
75,4948,1643.2791386762522,37.846139699488646,2964.866960792572,302.3012733538397,247,927,-680,927,23175
76,4343,1474.8422593118098,29.519988965601144,2577.858308391801,260.88004963120375,248,946,-698,946,23650
77,3694,1288.251223736463,20.46719234948346,2166.3616748462805,219.1101618494497,248,965,-717,965,24125
78,3000,1081.274334460848,10.6429400217314,1730.96376651393,176.83348712018608,249,984,-735,984,24600
79,2258,850.8761474161272,0,1273.2426136028726,133.80169855322413,249,1004,-755,1004,25100
80,1468,588.8314751544442,0,790.3731967473956,89.03339920734616,240,1024,-784,1024,25600
81,629,289.038263409468,0,298.26559974793963,42.02269856972541,240,1044,-804,1044,26100
82,0,0,0,0,0,240,1065,-825,1065,26625
83,0,0,0,0,0,240,1065,0,1065,26625
84,0,0,0,0,0,240,1065,0,1065,26625
85,0,0,0,0,0,240,1065,0,1065,26625
86,0,0,0,0,0,240,1065,0,1065,26625
87,0,0,0,0,0,240,1065,0,1065,26625
88,0,0,0,0,0,240,1065,0,1065,26625
89,0,0,0,0,0,240,1065,0,1065,26625
90,0,0,0,0,0,240,1065,0,1065,26625
