年齢,総資産,NISA,iDeCo,特定口座,現金,収入,支出,CF,補填現金(比例),補填NISA(比例)
38,2608,822,321,428,1037,835,518,317,0,0
39,3027,1060,343,458,1166,835,525,310,0,0
40,3460,1314,368,490,1289,835,533,302,0,0
41,3906,1586,393,524,1403,835,540,295,0,0
42,4369,1877,421,561,1510,835,548,287,0,0
43,4848,2188,450,600,1610,835,556,279,0,0
44,5346,2521,482,642,1701,835,564,271,0,0
45,5865,2878,515,687,1784,835,572,263,0,0
46,6405,3259,552,735,1859,835,580,255,0,0
47,6970,3667,590,787,1926,835,588,247,0,0
48,7561,4104,631,842,1984,835,597,238,0,0
49,7930,4571,676,901,1783,835,856,-21,0,0
50,8331,5071,723,964,1573,835,865,-30,0,0
51,8765,5606,774,1031,1354,835,874,-39,0,0
52,8986,6179,828,1104,876,835,1133,-298,0,0
53,9496,6791,886,1181,638,835,893,-58,0,0
54,10048,7447,948,1264,390,835,902,-67,0,0
55,10547,8148,1014,1352,33,835,1012,-177,0,0
56,11345,8814,1085,1447,0,835,772,63,0,0
57,12192,9483,1161,1548,0,835,783,52,0,0
58,14272,9406,1151,1522,2192,2299,693,-693,0,0
59,14037,9316,1140,1493,2088,0,704,-704,0,0
60,13786,9211,1128,1462,1985,0,715,-715,0,0
61,13518,9092,1113,1429,1884,0,726,-726,0,0
62,13231,8957,1096,1393,1785,0,737,-737,0,0
63,12925,8806,1078,1354,1687,0,749,-749,0,0
64,12598,8637,1057,1312,1591,0,761,-761,0,0
65,12409,8605,983,1296,1524,228,773,-544,0,0
66,12203,8559,908,1278,1458,228,785,-557,0,0
67,12100,8583,841,1272,1406,348,798,-450,0,0
68,12367,8864,796,1311,1396,348,435,-87,0,0
69,12635,9151,747,1352,1386,350,443,-93,0,0
70,12904,9443,694,1393,1375,352,452,-101,0,0
71,13176,9742,636,1434,1364,354,461,-107,0,0
72,13448,10045,574,1476,1352,356,471,-115,0,0
73,13722,10355,507,1519,1340,358,480,-122,0,0
74,13997,10671,435,1562,1328,360,490,-130,0,0
75,14273,10992,359,1606,1315,363,499,-137,0,0
76,14549,11319,277,1650,1302,364,509,-145,0,0
77,14825,11651,190,1695,1289,366,520,-153,0,0
78,15103,11990,98,1740,1275,369,530,-161,0,0
79,15380,12333,0,1785,1262,371,541,-170,0,0
80,15677,12616,0,1820,1241,290,551,-261,0,0
81,15975,12901,0,1854,1220,290,562,-272,0,0
82,16274,13187,0,1887,1199,290,574,-284,0,0
83,16574,13475,0,1921,1178,290,585,-295,0,0
84,16875,13764,0,1954,1157,290,597,-307,0,0
85,17177,14054,0,1987,1136,290,609,-319,0,0
86,17478,14345,0,2019,1115,290,621,-331,0,0
87,17781,14636,0,2051,1094,290,633,-343,0,0
88,18083,14928,0,2082,1073,290,646,-356,0,0
89,18384,15219,0,2113,1052,290,659,-369,0,0
90,18685,15511,0,2143,1031,290,672,-382,0,0
