年齢,総資産,NISA,iDeCo,特定口座,現金,収入,支出,CF,補填現金(比例),補填NISA(比例)
53,6889,1404,1312,2461,1712,720,360,360,0,0
54,7608,1622,1431,2633,1921,720,364,356,0,0
55,8359,1856,1559,2818,2126,720,367,353,0,0
56,9144,2106,1695,3015,2328,720,371,349,0,0
57,9966,2373,1842,3226,2526,720,375,345,0,0
58,10829,2659,1998,3452,2720,720,378,342,0,0
59,11734,2965,2166,3693,2910,720,382,338,0,0
60,13744,3021,2207,3756,4760,2049,386,-286,0,0
61,14163,3142,2295,3906,4820,450,390,60,0,0
62,14492,3258,2379,4049,4806,350,394,-44,0,0
63,14830,3377,2467,4196,4790,350,398,-48,0,0
64,15179,3501,2557,4347,4774,350,402,-52,0,0
65,15653,3641,2482,4521,5010,641,406,236,0,0
66,15882,3783,2395,4698,5006,397,410,-12,0,0
67,16195,3935,2299,4886,5076,484,414,70,0,0
68,16513,4092,2192,5081,5148,490,418,72,0,0
69,16834,4256,2072,5285,5222,496,422,74,0,0
70,17160,4426,1939,5496,5299,503,426,77,0,0
71,17390,4598,1791,5709,5293,411,431,-19,0,0
72,17624,4777,1628,5930,5288,418,435,-17,0,0
73,17861,4964,1450,6162,5284,426,439,-13,0,0
74,18103,5160,1256,6405,5281,434,444,-9,0,0
75,18348,5365,1045,6659,5280,442,448,-6,0,0
76,18597,5579,815,6924,5279,451,453,-2,0,0
77,18850,5802,565,7201,5282,460,457,2,0,0
78,19106,6034,294,7489,5289,469,462,7,0,0
79,19365,6276,0,7789,5301,479,466,12,0,0
80,19670,6448,0,7985,5237,230,471,-241,0,0
81,19984,6624,0,8186,5173,230,476,-246,0,0
82,20307,6805,0,8392,5110,230,480,-250,0,0
83,20641,6991,0,8601,5048,230,485,-255,0,0
84,20984,7182,0,8816,4986,230,490,-260,0,0
85,21338,7378,0,9035,4925,230,495,-265,0,0
86,21703,7579,0,9259,4865,230,500,-270,0,0
87,22079,7785,0,9489,4805,230,505,-275,0,0
88,22466,7997,0,9723,4746,230,510,-280,0,0
89,22866,8215,0,9963,4688,230,515,-285,0,0
90,23277,8438,0,10209,4630,230,520,-290,0,0
