年齢,総資産,NISA,iDeCo,特定口座,現金,収入,支出,CF,補填現金(比例),補填NISA(比例)
42,2934,848,392,624,1070,850,480,370,0,0
43,3374,1002,435,701,1236,850,485,365,0,0
44,3820,1162,480,781,1397,850,490,360,0,0
45,4272,1328,527,864,1553,850,495,355,0,0
46,4731,1502,575,951,1704,850,499,351,0,0
47,5198,1682,626,1041,1849,850,504,346,0,0
48,5672,1869,679,1134,1990,850,510,340,0,0
49,6155,2064,733,1232,2126,850,515,335,0,0
50,6646,2266,790,1333,2257,850,520,330,0,0
51,7147,2477,849,1438,2382,850,525,325,0,0
52,7657,2696,911,1548,2502,850,530,320,0,0
53,8178,2924,975,1662,2617,850,536,314,0,0
54,8710,3161,1042,1780,2727,850,541,309,0,0
55,9369,3170,1045,1781,3374,972,546,-346,0,0
56,9252,3176,1047,1779,3250,200,552,-352,0,0
57,8925,3109,1025,1732,3059,0,557,-557,0,0
58,8587,3035,1000,1681,2871,0,563,-563,0,0
59,8236,2953,973,1624,2686,0,568,-568,0,0
60,7873,2863,943,1563,2504,0,574,-574,0,0
61,7495,2764,911,1496,2324,0,580,-580,0,0
62,7103,2656,875,1425,2148,0,586,-586,0,0
63,6695,2538,836,1347,1974,0,592,-592,0,0
64,6272,2410,794,1265,1802,0,597,-597,0,0
65,5955,2330,0,1211,2414,150,603,-453,0,0
66,5624,2240,0,1152,2232,150,609,-459,0,0
67,5364,2174,0,1107,2083,230,616,-386,0,0
68,5092,2100,0,1058,1934,230,622,-392,0,0
69,4808,2017,0,1004,1787,230,628,-398,0,0
70,4512,1926,0,946,1640,230,634,-404,0,0
71,4203,1825,0,883,1495,230,641,-411,0,0
72,3881,1715,0,816,1350,230,647,-417,0,0
73,3544,1594,0,744,1206,230,653,-423,0,0
74,3193,1461,0,668,1064,230,660,-430,0,0
75,2826,1317,0,587,922,230,667,-437,0,0
76,2443,1161,0,501,781,230,673,-443,0,0
77,2044,991,0,412,641,230,680,-450,0,0
78,1627,806,0,319,502,230,687,-457,0,0
79,1192,606,0,223,363,230,694,-464,0,0
80,739,388,0,127,223,230,701,-471,0,0
81,266,150,0,34,83,230,708,-478,0,0
82,0,0,0,0,0,230,715,-485,0,0
83,0,0,0,0,0,230,715,0,0,0
84,0,0,0,0,0,230,715,0,0,0
85,0,0,0,0,0,230,715,0,0,0
86,0,0,0,0,0,230,715,0,0,0
87,0,0,0,0,0,230,715,0,0,0
88,0,0,0,0,0,230,715,0,0,0
89,0,0,0,0,0,230,715,0,0,0
90,0,0,0,0,0,230,715,0,0,0
