年齢,総資産,NISA,iDeCo,特定口座,現金,収入,支出,CF,補填現金(比例),補填NISA(比例)
42,2934,848,392,624,1070,850,480,370,0,0
43,3369,1002,435,701,1231,850,490,360,0,0
44,3805,1162,480,781,1382,850,499,351,0,0
45,3993,1328,527,864,1273,850,759,91,0,0
46,4182,1502,575,951,1154,850,770,80,0,0
47,4373,1682,626,1041,1025,850,780,70,0,0
48,4316,1869,679,1134,634,850,1041,-191,0,0
49,4512,2064,733,1232,483,850,801,49,0,0
50,4711,2266,790,1333,321,850,812,38,0,0
51,4913,2477,849,1438,148,850,824,26,0,0
52,5368,2696,911,1548,213,850,585,265,0,0
53,5828,2924,975,1662,267,850,597,253,0,0
54,6291,3161,1042,1780,309,850,609,241,0,0
55,6874,3098,1021,1737,1018,972,621,-421,0,0
56,6908,3133,1032,1753,990,200,396,-196,0,0
57,6732,3074,1013,1711,934,0,404,-404,0,0
58,6543,3008,991,1665,879,0,412,-412,0,0
59,6339,2934,967,1613,824,0,420,-420,0,0
60,6120,2852,940,1557,770,0,428,-428,0,0
61,5885,2762,910,1496,717,0,437,-437,0,0
62,5633,2662,877,1429,665,0,446,-446,0,0
63,5363,2552,841,1357,613,0,455,-455,0,0
64,5075,2433,802,1279,562,0,464,-464,0,0
65,4890,2374,0,1237,1279,150,473,-323,0,0
66,4691,2306,0,1191,1195,150,483,-333,0,0
67,4560,2268,0,1162,1130,230,492,-262,0,0
68,4415,2222,0,1129,1065,230,502,-272,0,0
69,4256,2167,0,1091,999,230,512,-282,0,0
70,4083,2104,0,1047,932,230,522,-292,0,0
71,3895,2031,0,999,865,230,533,-303,0,0
72,3690,1947,0,945,797,230,543,-313,0,0
73,3468,1852,0,886,730,230,554,-324,0,0
74,3228,1746,0,821,661,230,565,-335,0,0
75,2970,1627,0,751,592,230,577,-347,0,0
76,2691,1494,0,674,523,230,588,-358,0,0
77,2392,1347,0,592,453,230,600,-370,0,0
78,2071,1184,0,503,383,230,612,-382,0,0
79,1727,1004,0,410,313,230,624,-394,0,0
80,1359,806,0,312,241,230,637,-407,0,0
81,967,588,0,210,169,230,649,-419,0,0
82,549,347,0,106,96,230,662,-432,0,0
83,105,77,0,7,21,230,676,-446,0,0
84,0,0,0,0,0,230,689,-459,0,0
85,0,0,0,0,0,230,689,0,0,0
86,0,0,0,0,0,230,689,0,0,0
87,0,0,0,0,0,230,689,0,0,0
88,0,0,0,0,0,230,689,0,0,0
89,0,0,0,0,0,230,689,0,0,0
90,0,0,0,0,0,230,689,0,0,0
