年齢,総資産,NISA,iDeCo,特定口座,現金,収入,支出,CF,補填現金(比例),補填NISA(比例)
42,2934,848,392,624,1070,850,480,370,0,0
43,3374,1002,435,701,1236,850,485,365,0,0
44,3820,1162,480,781,1397,850,490,360,0,0
45,4272,1328,527,864,1553,850,495,355,0,0
46,4731,1502,575,951,1704,850,499,351,0,0
47,5198,1682,626,1041,1849,850,504,346,0,0
48,5672,1869,679,1134,1990,850,510,340,0,0
49,6155,2064,733,1232,2126,850,515,335,0,0
50,6646,2266,790,1333,2257,850,520,330,0,0
51,7147,2477,849,1438,2382,850,525,325,0,0
52,7657,2696,911,1548,2502,850,530,320,0,0
53,8178,2924,975,1662,2617,850,536,314,0,0
54,8710,3161,1042,1780,2727,850,541,309,0,0
55,9369,3170,1045,1781,3374,972,546,-346,0,0
56,9462,3247,1070,1822,3323,200,345,-145,0,0
57,9354,3256,1073,1821,3204,0,348,-348,0,0
58,9241,3262,1075,1818,3086,0,352,-352,0,0
59,9125,3266,1076,1813,2971,0,355,-355,0,0
60,9005,3266,1076,1806,2857,0,359,-359,0,0
61,8881,3264,1076,1797,2745,0,362,-362,0,0
62,8752,3258,1074,1785,2635,0,366,-366,0,0
63,8618,3249,1071,1772,2527,0,370,-370,0,0
64,8479,3237,1067,1755,2420,0,373,-373,0,0
65,8428,3278,0,1772,3379,150,377,-227,0,0
66,8393,3318,0,1787,3288,150,381,-231,0,0
67,8438,3388,0,1820,3229,230,385,-155,0,0
68,8483,3459,0,1853,3170,230,389,-159,0,0
69,8527,3530,0,1886,3111,230,392,-162,0,0
70,8572,3602,0,1919,3051,230,396,-166,0,0
71,8617,3673,0,1951,2992,230,400,-170,0,0
72,8661,3745,0,1983,2933,230,404,-174,0,0
73,8706,3817,0,2014,2874,230,408,-178,0,0
74,8749,3888,0,2045,2816,230,412,-182,0,0
75,8793,3960,0,2076,2757,230,417,-187,0,0
76,8836,4031,0,2105,2699,230,421,-191,0,0
77,8878,4102,0,2135,2641,230,425,-195,0,0
78,8920,4173,0,2163,2583,230,429,-199,0,0
79,8961,4244,0,2191,2526,230,434,-204,0,0
80,9001,4314,0,2218,2469,230,438,-208,0,0
81,9041,4384,0,2244,2413,230,442,-212,0,0
82,9079,4453,0,2269,2356,230,447,-217,0,0
83,9116,4522,0,2294,2301,230,451,-221,0,0
84,9152,4590,0,2317,2245,230,456,-226,0,0
85,9187,4657,0,2340,2191,230,460,-230,0,0
86,9220,4723,0,2361,2136,230,465,-235,0,0
87,9252,4788,0,2382,2082,230,469,-239,0,0
88,9282,4852,0,2401,2029,230,474,-244,0,0
89,9310,4915,0,2419,1976,230,479,-249,0,0
90,9337,4977,0,2436,1924,230,484,-254,0,0
