年齢,総資産,NISA,iDeCo,特定口座,現金,収入,支出,CF
48,10802,1428,1095,6186,2092,1100,571,529
49,11853,1885,1197,6595,2176,1100,579,521
50,12959,2373,1306,7028,2251,1100,587,513
51,14121,2895,1422,7485,2319,1100,595,505
52,15345,3092,1546,7969,2738,1100,604,496
53,16610,3302,1679,8482,3148,1100,612,488
54,17920,3526,1821,9024,3549,1100,621,479
55,18322,3766,1944,9493,3119,200,630,-430
56,18765,4022,2077,9987,2680,200,639,-439
57,19250,4296,2218,10506,2231,200,649,-449
58,19781,4588,2369,11052,1773,200,658,-458
59,20361,4900,2530,11627,1305,200,668,-468
60,20957,5233,2432,12231,1061,434,678,-244
61,21588,5589,2308,12867,823,451,688,-238
62,22154,5969,2157,13537,492,367,699,-331
63,22439,6375,1975,14090,0,384,1009,-625
64,22688,6808,1757,14122,0,403,1020,-616
65,23052,7271,1502,14280,0,525,1031,-505
66,23423,7765,1203,14455,0,547,1042,-495
67,23799,8294,856,14649,0,569,1053,-484
68,24180,8857,457,14865,0,593,1065,-472
69,24915,9460,0,15455,0,619,777,-158
70,25654,10103,0,15551,0,120,727,-607
71,26427,10790,0,15637,0,120,738,-618
72,27235,11524,0,15711,0,120,750,-630
73,28081,12307,0,15773,0,120,761,-641
74,28967,13144,0,15823,0,120,773,-653
75,29896,14038,0,15858,0,120,785,-665
76,30871,14993,0,15878,0,120,797,-677
77,31894,16012,0,15882,0,120,810,-690
78,32970,17101,0,15869,0,120,823,-703
79,34306,18264,0,16042,0,120,665,-545
80,35848,19506,0,16342,0,120,565,-445
81,37476,20832,0,16643,0,120,577,-457
82,39194,22249,0,16945,0,120,588,-468
83,41009,23762,0,17247,0,120,600,-480
84,42927,25378,0,17549,0,120,612,-492
85,44954,27103,0,17851,0,120,624,-504
86,47098,28946,0,18152,0,120,637,-517
87,49367,30915,0,18453,0,120,649,-529
88,51769,33017,0,18752,0,120,662,-542
89,54312,35262,0,19050,0,120,676,-556
90,57005,37660,0,19345,0,120,689,-569
