年齢,総資産,NISA,iDeCo,特定口座,現金,収入,支出,CF
48,10802,1428,1096,6186,2092,1100,571,529
49,11853,1885,1198,6595,2175,1100,579,521
50,12959,2373,1307,7028,2251,1100,587,513
51,14121,2895,1423,7485,2318,1100,595,505
52,15345,3092,1548,7969,2737,1100,604,496
53,16611,3302,1680,8482,3147,1100,612,488
54,17920,3526,1822,9024,3548,1100,621,479
55,18323,3766,1946,9493,3118,200,630,-430
56,18766,4022,2079,9987,2678,200,639,-439
57,19251,4296,2220,10506,2230,200,649,-449
58,19782,4588,2371,11052,1771,200,658,-458
59,20362,4900,2532,11627,1303,200,668,-468
60,20958,5233,2434,12231,1060,434,678,-244
61,21589,5589,2310,12867,822,451,688,-237
62,22156,5969,2159,13537,491,367,699,-331
63,22441,6375,1977,14090,0,384,1009,-625
64,22690,6808,1759,14122,0,404,1020,-616
65,23054,7271,1503,14280,0,526,1031,-505
66,23425,7765,1204,14456,0,547,1042,-495
67,23801,8294,857,14650,0,570,1053,-484
68,24182,8857,458,14867,0,594,1065,-471
69,24918,9460,0,15458,0,620,777,-157
70,25657,10103,0,15554,0,120,727,-607
71,26430,10790,0,15640,0,120,738,-618
72,27238,11524,0,15714,0,120,750,-630
73,28084,12307,0,15777,0,120,761,-641
74,28970,13144,0,15826,0,120,773,-653
75,29900,14038,0,15861,0,120,785,-665
76,30875,14993,0,15882,0,120,797,-677
77,31898,16012,0,15886,0,120,810,-690
78,32974,17101,0,15873,0,120,823,-703
79,34311,18264,0,16047,0,120,665,-545
80,35853,19506,0,16347,0,120,565,-445
81,37481,20832,0,16648,0,120,577,-457
82,39199,22249,0,16950,0,120,588,-468
83,41014,23762,0,17252,0,120,600,-480
84,42932,25378,0,17555,0,120,612,-492
85,44960,27103,0,17857,0,120,624,-504
86,47105,28946,0,18158,0,120,637,-517
87,49374,30915,0,18459,0,120,649,-529
88,51776,33017,0,18759,0,120,662,-542
89,54319,35262,0,19057,0,120,676,-556
90,57013,37660,0,19353,0,120,689,-569
